Open,Close,Year,Month,Date
43.740002000000004,44.110001000000004,1957,03,03/01/1957
44.139998999999996,45.740002000000004,1957,04,04/01/1957
46.02,47.43,1957,05,05/01/1957
47.369999,47.369999,1957,06,06/01/1957
47.43,47.91,1957,07,07/01/1957
47.790001000000004,45.220001,1957,08,08/01/1957
45.439999,42.419998,1957,09,09/01/1957
42.759997999999996,41.060001,1957,10,10/01/1957
40.439999,41.720001,1957,11,11/01/1957
41.360001000000004,39.990002000000004,1957,12,12/01/1957
40.330002,41.700001,1958,01,01/01/1958
42.040001000000004,40.84,1958,02,02/01/1958
41.130001,42.099998,1958,03,03/01/1958
41.93,43.439999,1958,04,04/01/1958
43.540001000000004,44.09,1958,05,05/01/1958
44.310001,45.240002000000004,1958,06,06/01/1958
45.279999,47.189999,1958,07,07/01/1958
47.490002000000004,47.75,1958,08,08/01/1958
48.0,50.060001,1958,09,09/01/1958
49.98,51.330002,1958,10,10/01/1958
51.560001,52.48,1958,11,11/01/1958
52.689999,55.209998999999996,1958,12,12/01/1958
55.439999,55.450001,1959,01,01/01/1959
55.209998999999996,55.41,1959,02,02/01/1959
55.73,55.439999,1959,03,03/01/1959
55.689999,57.59,1959,04,04/01/1959
57.650002,58.68,1959,05,05/01/1959
58.630001,58.470001,1959,06,06/01/1959
58.970001,60.509997999999996,1959,07,07/01/1959
60.709998999999996,59.599998,1959,08,08/01/1959
58.869999,56.880001,1959,09,09/01/1959
56.939999,57.52,1959,10,10/01/1959
57.41,58.279999,1959,11,11/01/1959
58.700001,59.889998999999996,1959,12,12/01/1959
59.91,55.610001000000004,1960,01,01/01/1960
55.959998999999996,56.119999,1960,02,02/01/1960
56.009997999999996,55.34,1960,03,03/01/1960
55.43,54.369999,1960,04,04/01/1960
54.130001,55.830002,1960,05,05/01/1960
55.889998999999996,56.919998,1960,06,06/01/1960
57.060001,55.509997999999996,1960,07,07/01/1960
55.529999,56.959998999999996,1960,08,08/01/1960
57.09,53.52,1960,09,09/01/1960
