Date,Open,pct_sos,Month,Year,pct_pop,Season,Close
03/01/1954,26.25,0.12083689154568744,03,1954,0.010003847633705432,Nov-Apr,26.940001000000002
04/01/1954,27.17,0.156662409535973,04,1954,0.035047619047619216,Apr-Nov,28.26
05/01/1954,28.209999,0.14395778588807784,05,1954,0.03827747515642255,May-Dec,29.190001000000002
06/01/1954,29.190001000000002,0.17796609451307122,06,1954,0.03473952622259935,Jun-Jan,29.209999
07/01/1954,29.209999,0.17074139596226878,07,1954,0.000685097612706409,Jul-Feb,30.879998999999998
08/01/1954,30.99,0.19238168526356292,08,1954,0.06093807124060491,Aug-Mar,29.83
09/01/1954,30.040001,0.14438099047619057,09,1954,-0.03065501774766044,Sep-Apr,32.310001
10/01/1954,32.290001000000004,0.18844317261685695,10,1954,0.07490013066244594,Oct-May,31.68
11/01/1954,31.790001,0.1269054281072466,11,1954,-0.015484669696975373,Nov-Jun,34.240002000000004
12/01/1954,33.990002000000004,0.16443990529496721,12,1954,0.06920418152865127,Dec-Jul,35.98
01/01/1955,36.75,0.2581308202030408,01,1955,0.08120028942628466,Nov-Apr,36.630001
02/01/1955,36.720001,0.1848983865763152,02,1955,-0.0008162993197278201,Nov-Apr,36.759997999999996
03/01/1955,36.830002,0.2260319831547275,03,1955,0.002995669853059102,Nov-Apr,36.580002
04/01/1955,36.950001,0.144317121575809,04,1955,0.003258186084269088,Apr-Nov,37.959998999999996
05/01/1955,38.040001000000004,0.1966026990688048,05,1955,0.029499322611655776,May-Dec,37.91
06/01/1955,37.959998999999996,0.11679896341282925,06,1955,-0.0021031019426105413,Jun-Jan,41.029999
07/01/1955,41.189999,0.12081629931972793,07,1955,0.08508957020783914,Jul-Feb,43.52
08/01/1955,42.93,0.16911761522010837,08,1955,0.042243288231203824,Aug-Mar,43.18
09/01/1955,43.369999,0.1775725399091752,09,1955,0.010249219659911546,Sep-Apr,43.669998
10/01/1955,42.490002000000004,0.1499323640072432,10,1955,-0.020290454698880578,Oct-May,42.34
11/01/1955,42.279999,0.11146156384170425,11,1955,-0.004942409746179988,Nov-Jun,45.509997999999996
12/01/1955,45.349998,0.1946785878471704,12,1955,0.07261114173630911,Dec-Jul,45.48
01/01/1956,45.16,0.09638264375777217,01,1956,-0.004189592246509055,Nov-Apr,43.82
02/01/1956,44.029999,0.025623084090379722,02,1956,-0.02502216563330384,Nov-Apr,45.34
03/01/1956,45.540001000000004,0.05003463338793268,03,1956,0.03429484520315351,Nov-Apr,48.48
04/01/1956,48.700001,0.14615200535881345,04,1956,0.06938954612671178,Apr-Nov,48.380001
05/01/1956,48.16,0.1390728746232941,05,1956,-0.011088315994079778,May-Dec,45.200001
06/01/1956,45.580002,0.005071753255645239,06,1956,-0.05357138704318931,Jun-Jan,46.970001
07/01/1956,46.93,0.03919397697077076,07,1956,0.029618208441500204,Jul-Feb,49.389998999999996
08/01/1956,49.619999,0.1269588945482376,08,1956,0.05731939058171753,Aug-Mar,47.509997999999996
09/01/1956,47.889998999999996,0.05160294133502519,09,1956,-0.034864974503526325,Sep-Apr,45.349998
10/01/1956,44.700001,-0.08213552192740203,10,1956,-0.06661094313240634,Oct-May,45.580002
11/01/1956,46.52,-0.03405315614617932,11,1956,0.040715860386669744,Nov-Jun,45.080002
12/01/1956,45.98,0.008775734586409012,12,1956,-0.011607910576096447,Dec-Jul,46.669998
01/01/1957,46.200001,-0.015555060728744907,01,1957,0.004784710743801712,Nov-Apr,44.720001
02/01/1957,44.619999,-0.1007658222645268,02,1957,-0.03419917674893558,Nov-Apr,43.259997999999996
03/01/1957,43.740002000000004,-0.08665686127911576,03,1957,-0.019722030921605294,Nov-Apr,44.110001000000004
04/01/1957,44.139998999999996,-0.012528008668277302,04,1957,0.009144878411299295,Apr-Nov,45.740002000000004
05/01/1957,46.02,-0.010748065348237357,05,1957,0.042591777131667063,May-Dec,47.43
06/01/1957,47.369999,0.030230513266637837,06,1957,0.0293350499782703,Jun-Jan,47.369999
07/01/1957,47.43,0.02662335440209196,07,1957,0.0012666455829986045,Jul-Feb,47.91
08/01/1957,47.790001000000004,0.0710444211350163,08,1957,0.007590153911026798,Aug-Mar,45.220001
09/01/1957,45.439999,0.03886595615610622,09,1957,-0.04917350807337295,Sep-Apr,42.419998
10/01/1957,42.759997999999996,-0.03126418285600774,10,1957,-0.058978896544430004,Oct-May,41.060001
11/01/1957,40.439999,-0.12125165145588879,11,1957,-0.054256293463811556,Nov-Jun,41.720001
12/01/1957,41.360001000000004,-0.12687350911702566,12,1957,0.022749802738620373,Dec-Jul,39.990002000000004
01/01/1958,40.330002,-0.14969424414927257,01,1958,-0.02490326342110105,Nov-Apr,41.700001
02/01/1958,42.040001000000004,-0.12031805565352471,02,1958,0.04240017146540187,Nov-Apr,40.84
03/01/1958,41.130001,-0.09485031018596635,03,1958,-0.02164605086474669,Nov-Apr,42.099998
04/01/1958,41.93,-0.019410618307325378,04,1958,0.01945049794674203,Apr-Nov,43.439999
05/01/1958,43.540001000000004,0.07665682682138542,05,1958,0.03839735273074174,May-Dec,44.09
06/01/1958,44.310001,0.07132494991960936,06,1958,0.01768488705363125,Jun-Jan,45.240002000000004
07/01/1958,45.279999,0.12273733584243307,07,1958,0.021891175312769517,Jul-Feb,47.189999
08/01/1958,47.490002000000004,0.12963846028452752,08,1958,0.0488074878270206,Aug-Mar,47.75
09/01/1958,48.0,0.16703133559369476,09,1958,0.010739060402650491,Sep-Apr,50.060001
10/01/1958,49.98,0.19198664440734547,10,1958,0.04125000000000001,Oct-May,51.330002
11/01/1958,51.560001,0.18419843398717406,11,1958,0.031612665066026446,Nov-Jun,52.48
12/01/1958,52.689999,0.1891220449306692,12,1958,0.021916174904651475,Dec-Jul,55.209998999999996
01/01/1959,55.439999,0.2243816303971209,01,1959,0.05219206779639518,Nov-Apr,55.450001
02/01/1959,55.209998999999996,0.16256046904356825,02,1959,-0.004148629223460154,Nov-Apr,55.41
03/01/1959,55.73,0.16104166666666653,03,1959,0.009418601873186105,Nov-Apr,55.439999
04/01/1959,55.689999,0.1142456782713086,04,1959,-0.0007177642203480827,Apr-Nov,57.59
05/01/1959,57.650002,0.11811483479218698,05,1959,0.03519488301660778,May-Dec,58.68
06/01/1959,58.630001,0.1127349043980812,06,1959,0.016999114761522494,Jun-Jan,58.470001
07/01/1959,58.970001,0.06367247589596814,07,1959,0.005799078870901031,Jul-Feb,60.509997999999996
08/01/1959,60.709998999999996,0.09961963592862944,08,1959,0.029506494327514066,Aug-Mar,59.599998
09/01/1959,58.869999,0.05634306477660145,09,1959,-0.030308022241937405,Sep-Apr,56.880001
10/01/1959,56.939999,0.022445681853935806,10,1959,-0.032784101117446895,Oct-May,57.52
11/01/1959,57.41,-0.004163087453145309,11,1959,0.008254320482162125,Nov-Jun,58.279999
12/01/1959,58.700001,0.0011939280028325783,12,1959,0.022469970388434124,Dec-Jul,59.889998999999996
01/01/1960,59.91,0.015940291403420348,01,1960,0.020613270517661375,Nov-Apr,55.610001000000004
02/01/1960,55.959998999999996,-0.0782408182876102,02,1960,-0.06593224837255884,Nov-Apr,56.119999
03/01/1960,56.009997999999996,-0.048581638331606,03,1960,0.0008934774998834438,Nov-Apr,55.34
04/01/1960,55.43,-0.02651912586089089,04,1960,-0.010355258359409314,Apr-Nov,54.369999
05/01/1960,54.130001,-0.057132886256749615,05,1960,-0.02345298574778998,May-Dec,55.830002
06/01/1960,55.889998999999996,-0.04787056136506718,06,1960,0.03251427983531707,Jun-Jan,56.919998
07/01/1960,57.060001,-0.04757134034384902,07,1960,0.02093401361485081,Jul-Feb,55.509997999999996
08/01/1960,55.529999,-0.00768406018020118,08,1960,-0.026813914707081832,Aug-Mar,56.959998999999996
09/01/1960,57.09,0.0192823074194719,09,1960,0.028092941258652138,Sep-Apr,53.52
10/01/1960,53.360001000000004,-0.03734438029947673,10,1960,-0.06533541776142926,Oct-May,53.389998999999996
11/01/1960,53.939999,-0.0035101052372047414,11,1960,0.010869527532429979,Nov-Jun,55.540001000000004
12/01/1960,55.299999,-0.010556450358855773,12,1960,0.025213200319117446,Dec-Jul,58.110001000000004
01/01/1961,57.57,0.008937942360008,01,1961,0.04104884341860471,Nov-Apr,61.779999
02/01/1961,61.900002,0.11471282396385418,02,1961,0.07521281917665457,Nov-Apr,63.439999
03/01/1961,63.43,0.11105272376948672,03,1961,0.024717252836276238,Nov-Apr,65.059998
04/01/1961,65.599998,0.22938524682561368,04,1961,0.03421090966419671,Apr-Nov,65.309998
05/01/1961,65.16999799999999,0.20819427527241885,05,1961,-0.006554878248624441,May-Dec,66.559998
06/01/1961,66.559998,0.2036166221268827,06,1961,0.021328832939353504,Jun-Jan,64.639999
07/01/1961,65.209999,0.13270799027271152,07,1961,-0.020282437508486684,Jul-Feb,66.760002
08/01/1961,67.370003,0.08836834932573989,08,1961,0.033123815873697504,Aug-Mar,68.07
09/01/1961,68.190002,0.07504338641021602,09,1961,0.012171574342961122,Sep-Apr,66.730003
10/01/1961,66.769997,0.017835351153516976,10,1961,-0.020824240480298073,Oct-May,68.620003
11/01/1961,68.730003,0.05462644022177199,11,1961,0.029354591703815602,Nov-Jun,71.32
12/01/1961,71.779999,0.0784254981498047,12,1961,0.04437648576852249,Dec-Jul,71.550003
01/01/1962,71.550003,0.09722441492446587,01,1962,-0.003204179481808067,Nov-Apr,68.839996
02/01/1962,68.839996,0.021819696222961538,02,1962,-0.03787570770611992,Nov-Apr,69.959999
03/01/1962,69.959999,0.02595684041774904,03,1962,0.016269655216133216,Nov-Apr,69.550003
04/01/1962,69.550003,0.04163555676062103,04,1962,-0.005860434617787735,Apr-Nov,65.239998
05/01/1962,65.239998,-0.05077847879622521,05,1962,-0.06196987511273011,May-Dec,59.630001
06/01/1962,59.630001,-0.16926717984490358,06,1962,-0.08599014671950178,Jun-Jan,54.75
07/01/1962,54.75,-0.2348008706582445,07,1962,-0.0818380164038568,Jul-Feb,58.23
08/01/1962,58.23,-0.15412545927515742,08,1962,0.06356164383561635,Aug-Mar,59.119999
09/01/1962,59.119999,-0.15494568546234533,09,1962,0.015284200583891572,Sep-Apr,56.27
10/01/1962,56.27,-0.19094180341013067,10,1962,-0.048207020436519255,Oct-May,56.52
11/01/1962,56.52,-0.1336603045266801,11,1962,0.004442864759196752,Nov-Jun,62.259997999999996
12/01/1962,62.259997999999996,0.04410526506615353,12,1962,0.10155693559801837,Dec-Jul,63.099998
01/01/1963,63.099998,0.15251137899543377,01,1963,0.013491808978214337,Nov-Apr,66.199997
02/01/1963,66.309998,0.13876005495449073,02,1963,0.05087163394204852,Nov-Apr,64.290001
03/01/1963,64.290001,0.08744929105969712,03,1963,-0.030462932603315562,Nov-Apr,66.57
04/01/1963,66.57,0.18304602807890502,04,1963,0.03546428627369269,Apr-Nov,69.800003
05/01/1963,69.800003,0.23496112880396325,05,1963,0.04852039957939036,May-Dec,70.800003
06/01/1963,70.800003,0.13716680492023148,06,1963,0.014326646948711552,Jun-Jan,69.370003
07/01/1963,69.370003,0.09936616796723197,07,1963,-0.020197739257158065,Jul-Feb,69.129997
08/01/1963,69.129997,0.0425275084460115,08,1963,-0.003459795150938527,Aug-Mar,72.5
09/01/1963,72.5,0.12770258006373325,09,1963,0.048748779780794615,Sep-Apr,71.699997
10/01/1963,71.699997,0.07706169445696265,10,1963,-0.011034524137931045,Oct-May,74.010002
11/01/1963,74.010002,0.0603151693274282,11,1963,0.03221764430478302,Nov-Jun,73.230003
12/01/1963,73.230003,0.034322032443981465,12,1963,-0.010539102539140588,Dec-Jul,75.019997
01/01/1964,75.019997,0.08144722150293138,01,1964,0.024443451135732097,Nov-Apr,77.040001
02/01/1964,77.040001,0.11442216611118905,02,1964,0.026926207421735793,Nov-Apr,77.800003
03/01/1964,77.800003,0.07310348965517255,03,1964,0.009865031024597126,Nov-Apr,78.980003
04/01/1964,78.980003,0.10153425808372063,04,1964,0.01516709453083176,Apr-Nov,79.459999
05/01/1964,79.459999,0.07363865494828659,05,1964,0.006077437095058036,May-Dec,80.370003
06/01/1964,80.370003,0.0975010201761155,06,1964,0.011452353529478376,Jun-Jan,81.690002
07/01/1964,81.690002,0.0889096943045733,07,1964,0.0164240257649364,Jul-Feb,83.18
08/01/1964,83.18,0.07969884372145852,08,1964,0.0182396616907905,Aug-Mar,81.83000200000001
09/01/1964,81.83000200000001,0.05179947101030313,09,1964,-0.01622983890358254,Sep-Apr,84.18
10/01/1964,84.18,0.06583941254091896,10,1964,0.02871804891316021,Oct-May,84.860001
11/01/1964,84.860001,0.06795874739439656,11,1964,0.008077940128296435,Nov-Jun,84.41999799999999
12/01/1964,84.41999799999999,0.05039187319676963,12,1964,-0.00518504589694746,Dec-Jul,84.75
01/01/1965,84.75,0.03745865987370145,01,1965,0.003909050080764143,Nov-Apr,87.559998
02/01/1965,87.559998,0.052656864630920674,02,1965,0.03315631858407064,Nov-Apr,87.43
03/01/1965,87.43,0.06843453333900684,03,1965,-0.001484673400746206,Nov-Apr,86.160004
04/01/1965,86.160004,0.023521073889284816,04,1965,-0.014525860688550885,Apr-Nov,89.110001
05/01/1965,89.110001,0.0500824882149129,05,1965,0.03423858940396518,May-Dec,88.41999799999999
06/01/1965,88.41999799999999,0.04738213805690927,06,1965,-0.007743272273108892,Jun-Jan,84.120003
07/01/1965,84.120003,-0.00743359292035406,07,1965,-0.04863147587947236,Jul-Feb,85.25
08/01/1965,85.25,-0.02638188730885982,08,1965,0.013433154537571879,Aug-Mar,87.16999799999999
09/01/1965,87.16999799999999,-0.0029738304929659565,09,1965,0.022521970674486802,Sep-Apr,89.959999
10/01/1965,89.959999,0.044103932492853604,10,1965,0.0320064364347008,Oct-May,92.41999799999999
11/01/1965,92.41999799999999,0.03714506747676949,11,1965,0.027345476070981256,Nov-Jun,91.610001
12/01/1965,91.610001,0.036077845195156,12,1965,-0.008764304452808958,Dec-Jul,92.43
01/01/1966,92.43,0.09878740731856617,01,1966,0.008950976869872562,Nov-Apr,92.879997
02/01/1966,92.879997,0.08950143108504394,02,1966,0.004868516715352156,Nov-Apr,91.220001
03/01/1966,91.220001,0.046460973877732625,03,1966,-0.017872481197431678,Nov-Apr,89.230003
04/01/1966,89.230003,-0.008114673278286744,04,1966,-0.021815369197375922,Apr-Nov,91.059998
05/01/1966,91.059998,-0.014715429879147979,05,1966,0.02050874076514364,May-Dec,86.129997
06/01/1966,86.129997,-0.059818840084937874,06,1966,-0.054140139559414324,Jun-Jan,84.739998
07/01/1966,84.739998,-0.08319811749432005,07,1966,-0.016138384400501082,Jul-Feb,83.599998
08/01/1966,83.5,-0.10099049637135538,08,1966,-0.014632971787419624,Aug-Mar,77.099998
09/01/1966,77.099998,-0.15479064728359293,09,1966,-0.07664673053892213,Sep-Apr,76.559998
10/01/1966,76.559998,-0.14199265464554567,10,1966,-0.007003891232267079,Oct-May,80.199997
11/01/1966,80.199997,-0.11926203863962304,11,1966,0.04754439779374087,Nov-Jun,80.449997
12/01/1966,80.449997,-0.06594682686451281,12,1966,0.0031172070991474232,Dec-Jul,80.33000200000001
01/01/1967,80.33000200000001,-0.05204149284969295,01,1967,-0.001491547600679044,Nov-Apr,86.610001
02/01/1967,86.610001,0.037245520958083755,02,1967,0.0781775033442671,Nov-Apr,86.779999
03/01/1967,86.779999,0.12555124839302856,03,1967,0.001962798730368309,Nov-Apr,90.199997
04/01/1967,90.199997,0.17816091113273025,04,1967,0.039409979712030196,Apr-Nov,94.010002
05/01/1967,94.010002,0.17219458250104425,05,1967,0.04223952468645864,May-Dec,89.08000200000001
