Open,Close,Year,Month,Date,Season,Return
18.219998999999998,18.780001000000002,1950,05,05/01/1950,May-Oct,
19.690001000000002,19.530001000000002,1950,10,10/01/1950,May-Oct,0.0806806849989401
22.530001000000002,21.52,1951,05,05/01/1951,May-Oct,0.14423564529021604
23.469998999999998,22.940001000000002,1951,10,10/01/1951,May-Oct,0.04172205762440906
23.17,23.860001,1952,05,05/01/1952,May-Oct,-0.012782233182029423
24.48,24.52,1952,10,10/01/1952,May-Oct,0.056538627535606345
24.73,24.540001,1953,05,05/01/1953,May-Oct,0.010212418300653558
23.49,24.540001,1953,10,10/01/1953,May-Oct,-0.050141528507885225
28.209999,29.190001000000002,1954,05,05/01/1954,May-Oct,0.20093652618135383
32.290001000000004,31.68,1954,10,10/01/1954,May-Oct,0.1446296400081406
38.040001000000004,37.91,1955,05,05/01/1955,May-Oct,0.17807370151521518
42.490002000000004,42.34,1955,10,10/01/1955,May-Oct,0.11698214729279321
48.16,45.200001,1956,05,05/01/1956,May-Oct,0.1334431097461466
44.700001,45.580002,1956,10,10/01/1956,May-Oct,-0.07184383305647835
46.02,47.43,1957,05,05/01/1957,May-Oct,0.029530178310286814
42.759997999999996,41.060001,1957,10,10/01/1957,May-Oct,-0.07083880921338559
43.540001000000004,44.09,1958,05,05/01/1958,May-Oct,0.018241418065548354
49.98,51.330002,1958,10,10/01/1958,May-Oct,0.14790994148116798
57.650002,58.68,1959,05,05/01/1959,May-Oct,0.15346142456982803
56.939999,57.52,1959,10,10/01/1959,May-Oct,-0.0123157497895664
54.130001,55.830002,1960,05,05/01/1960,May-Oct,-0.049350158927821575
53.360001000000004,53.389998999999996,1960,10,10/01/1960,May-Oct,-0.014225013592739422
65.16999799999999,66.559998,1961,05,05/01/1961,May-Oct,0.2213267762120168
66.769997,68.620003,1961,10,10/01/1961,May-Oct,0.02455115926196605
65.239998,59.630001,1962,05,05/01/1962,May-Oct,-0.02291446860481372
56.27,56.52,1962,10,10/01/1962,May-Oct,-0.1374923095491204
69.800003,70.800003,1963,05,05/01/1963,May-Oct,0.2404478940821042
71.699997,74.010002,1963,10,10/01/1963,May-Oct,0.02722054324266998
79.459999,80.370003,1964,05,05/01/1964,May-Oct,0.10822876324527608
84.18,84.860001,1964,10,10/01/1964,May-Oct,0.05940096978858511
89.110001,88.41999799999999,1965,05,05/01/1965,May-Oct,0.05856499168448548
89.959999,92.41999799999999,1965,10,10/01/1965,May-Oct,0.00953874975267932
91.059998,86.129997,1966,05,05/01/1966,May-Oct,0.012227645756198724
76.559998,80.199997,1966,10,10/01/1966,May-Oct,-0.15923567228718805
94.010002,89.08000200000001,1967,05,05/01/1967,May-Oct,0.22792586802314196
96.709999,93.300003,1967,10,10/01/1967,May-Oct,0.028720316376548816
97.459999,98.68,1968,05,05/01/1968,May-Oct,0.007755144325872765
102.66999799999999,103.410004,1968,10,10/01/1968,May-Oct,0.053457819140753315
103.690002,103.459999,1969,05,05/01/1969,May-Oct,0.009934781531796721
93.120003,97.120003,1969,10,10/01/1969,May-Oct,-0.10193845883038954
81.519997,76.550003,1970,05,05/01/1970,May-Oct,-0.12457050715515972
84.300003,83.25,1970,10,10/01/1970,May-Oct,0.03410213570052023
103.949997,99.629997,1971,05,05/01/1971,May-Oct,0.23309600593964386
98.339996,94.230003,1971,10,10/01/1971,May-Oct,-0.05396826514578923
107.66999799999999,109.529999,1972,05,05/01/1972,May-Oct,0.09487494793064655
110.550003,111.58000200000001,1972,10,10/01/1972,May-Oct,0.026748444817469075
106.970001,104.949997,1973,05,05/01/1973,May-Oct,-0.0323835540737164
108.43,108.290001,1973,10,10/01/1973,May-Oct,0.013648677071621318
90.309998,87.279999,1974,05,05/01/1974,May-Oct,-0.1671124412063083
63.540001000000004,73.900002,1974,10,10/01/1974,May-Oct,-0.2964234037520407
87.300003,91.150002,1975,05,05/01/1975,May-Oct,0.37393770264498416
83.870003,89.040001,1975,10,10/01/1975,May-Oct,-0.039289803919021704
101.639999,100.18,1976,05,05/01/1976,May-Oct,0.2118754663690665
105.239998,102.900002,1976,10,10/01/1976,May-Oct,0.035419116838047104
98.440002,96.120003,1977,05,05/01/1977,May-Oct,-0.06461417834690564
96.529999,92.339996,1977,10,10/01/1977,May-Oct,-0.019402711917864468
96.83000200000001,97.239998,1978,05,05/01/1978,May-Oct,0.003107873232237379
102.540001,93.150002,1978,10,10/01/1978,May-Oct,0.05896931614232526
101.760002,99.08000200000001,1979,05,05/01/1979,May-Oct,-0.007606777768609629
109.190002,101.82,1979,10,10/01/1979,May-Oct,0.07301493567187634
106.290001,111.239998,1980,05,05/01/1980,May-Oct,-0.02655921739061795
125.459999,127.470001,1980,10,10/01/1980,May-Oct,0.18035561030806635
132.809998,132.58999599999999,1981,05,05/01/1981,May-Oct,0.05858440186979452
116.18,121.889999,1981,10,10/01/1981,May-Oct,-0.12521646148959353
115.959999,111.879997,1982,05,05/01/1982,May-Oct,-0.0018936219659150266
120.400002,133.720001,1982,10,10/01/1982,May-Oct,0.03828909139607717
164.41000400000001,162.389999,1983,05,05/01/1983,May-Oct,0.36553157200113673
165.990005,163.550003,1983,10,10/01/1983,May-Oct,0.009610126887412473
160.050003,150.550003,1984,05,05/01/1984,May-Oct,-0.03578529924136087
166.100006,166.08999599999999,1984,10,10/01/1984,May-Oct,0.037800705320824024
179.830002,189.550003,1985,05,05/01/1985,May-Oct,0.08266102049388246
182.059998,189.820007,1985,10,10/01/1985,May-Oct,0.012400578186058109
235.520004,247.350006,1986,05,05/01/1986,May-Oct,0.29363949570075243
231.32000699999998,243.979996,1986,10,10/01/1986,May-Oct,-0.017832867394143026
286.98999,290.100006,1987,05,05/01/1987,May-Oct,0.2406622052367482
321.829987,251.789993,1987,10,10/01/1987,May-Oct,0.12139795189372293
261.359985,262.160004,1988,05,05/01/1988,May-Oct,-0.1878942436771749
271.890015,278.97000099999997,1988,10,10/01/1988,May-Oct,0.04028937329484461
309.640015,320.519989,1989,05,05/01/1989,May-Oct,0.13884290675404176
349.149994,340.359985,1989,10,10/01/1989,May-Oct,0.12759971930630476
330.799988,361.230011,1990,05,05/01/1990,May-Oct,-0.05255622602130139
306.100006,304.0,1990,10,10/01/1990,May-Oct,-0.07466742108829816
375.350006,389.829987,1991,05,05/01/1991,May-Oct,0.226233252671024
387.859985,392.450012,1991,10,10/01/1991,May-Oct,0.033328836552622754
414.950012,415.350006,1992,05,05/01/1992,May-Oct,0.06984486167089399
417.799988,418.679993,1992,10,10/01/1992,May-Oct,0.006868239348309713
440.19000199999994,450.19000199999994,1993,05,05/01/1993,May-Oct,0.053590269610060304
458.92999299999997,467.829987,1993,10,10/01/1993,May-Oct,0.04257250486120778
450.910004,456.5,1994,05,05/01/1994,May-Oct,-0.01747540828084415
462.69000199999994,472.35000599999995,1994,10,10/01/1994,May-Oct,0.02612494266150711
514.76001,533.400024,1995,05,05/01/1995,May-Oct,0.11253756894448741
584.409973,581.5,1995,10,10/01/1995,May-Oct,0.13530569905770284
654.169983,669.119995,1996,05,05/01/1996,May-Oct,0.11936827436721376
687.3099980000001,705.27002,1996,10,10/01/1996,May-Oct,0.05065963871962009
801.340027,848.2800289999999,1997,05,05/01/1997,May-Oct,0.16590771170478424
